var,year,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
antigenic-drift,2023,Oceania,-0.07772865417389772,0.302700314271341,-0.5609744574450917,0.4197399669193665,-0.6325709533866183,0.5526409696684974
antigenic-drift,2022,Oceania,-0.01194662294955643,0.16728464793753686,-0.2941920335907065,0.25594194991891345,-0.3388749263268057,0.3117618644472921
antigenic-drift,2021,Oceania,-0.36487142133689726,0.16078749996538677,-0.6238531666904529,-0.09322921375676443,-0.6791392014902741,-0.05062171693215218
antigenic-drift,2020,Oceania,-0.3084921771535315,0.14551233791521118,-0.5450219767471882,-0.06936984769767657,-0.591198362851602,-0.016913688003074554
antigenic-drift,2019,Oceania,-0.11971553305158755,0.17811328670491522,-0.4136490745126867,0.16080627249087295,-0.46697458842749917,0.2187164321416611
antigenic-drift,2018,Oceania,-0.07253047810976775,0.1524865896770792,-0.32906343007353234,0.1742138177644038,-0.3665184073123861,0.24676285444695048
antigenic-drift,2017,Oceania,-0.07043697615404536,0.1687207519087418,-0.3437199983619321,0.20865768006160296,-0.39458284711957536,0.27402279246202194
antigenic-drift,2023,South-eastern Asia,-0.07383958482611717,0.262187330265245,-0.494223197691371,0.3655080081471541,-0.5691841972710314,0.4503362684761868
antigenic-drift,2022,South-eastern Asia,-0.0434349596649741,0.17722066908727677,-0.33859242601234624,0.24268546793667467,-0.3832235079543213,0.30926156300731295
antigenic-drift,2021,South-eastern Asia,-0.29305697664986224,0.17281152216605125,-0.5923864462224264,-0.030455500291372117,-0.627597747211372,0.04469898022906666
antigenic-drift,2020,South-eastern Asia,-0.2093327548604462,0.17776248334195535,-0.5040062103058177,0.07370121415562535,-0.5524872477383553,0.13975750818219304
antigenic-drift,2019,South-eastern Asia,-0.1320116030328508,0.16882883243557872,-0.4027604429026423,0.1421430114997486,-0.4648942416582034,0.1920998658756039
antigenic-drift,2018,South-eastern Asia,-0.15627857565864656,0.1486398848220187,-0.40812117431382017,0.08322219278474884,-0.4570204014979469,0.12536949965803507
antigenic-drift,2017,South-eastern Asia,-0.023534934815785023,0.1624981566093909,-0.2852569378961985,0.24811268847835066,-0.33407168998978776,0.29809149788212647
antigenic-drift,2023,Europe,0.08107072199611766,0.29164981057626826,-0.40658622868552063,0.542324909983442,-0.5002397052360875,0.6491416895152528
antigenic-drift,2022,Europe,-0.08772930807430365,0.17703695185930318,-0.3806857757048581,0.20168663696344022,-0.46348034110433645,0.23629734149541476
antigenic-drift,2021,Europe,-0.38183749445447834,0.16421567662168782,-0.6565741993295858,-0.12117695546451301,-0.7071111163756524,-0.06666761309711573
antigenic-drift,2020,Europe,-0.4357212215767083,0.12287279352175935,-0.6446087947128375,-0.24375158416099219,-0.6833989686788106,-0.2096161804364021
antigenic-drift,2019,Europe,-0.1045723068430766,0.16546546586867134,-0.37363997370325047,0.1717165729476904,-0.42159093869210856,0.23375588570404818
antigenic-drift,2018,Europe,-0.10465950214420947,0.16540727300371705,-0.3664326972004435,0.18187962830927493,-0.44134569209853325,0.2119540274736524
antigenic-drift,2017,Europe,0.09668466148961306,0.15867105860906747,-0.16975270496593609,0.3508642555804951,-0.21507635791724,0.4100788202689454
antigenic-drift,2023,Southern Asia,-0.23576965196583113,0.27284168598466635,-0.6855304038226362,0.21663101522629064,-0.7840253233188069,0.29295016455685274
antigenic-drift,2022,Southern Asia,-0.9364004946122152,0.15637635513309409,-1.1878495902348698,-0.6753228570733059,-1.2464097983657043,-0.6370569765168781
antigenic-drift,2021,Southern Asia,0.2632652740670656,0.1870583200325293,-0.04019684196009549,0.5743559856811605,-0.09625868296722509,0.6255213809045641
antigenic-drift,2020,Southern Asia,-0.19795011949146873,0.15965568929086454,-0.46544631565448663,0.05596733859960434,-0.5035812695779162,0.1212928688247633
antigenic-drift,2019,Southern Asia,-0.21011374530839516,0.16763818199117553,-0.4921526790603833,0.06153796076137652,-0.5431969402732116,0.12363206817724605
antigenic-drift,2018,Southern Asia,-0.21520456691677015,0.16364159270639436,-0.4999043375470558,0.036181998599924325,-0.5392397646054078,0.10393146519834358
antigenic-drift,2017,Southern Asia,-0.15710450086178004,0.16206381148954074,-0.4249355014573583,0.10936593476666831,-0.4612127799732148,0.1727897371542747
antigenic-drift,2023,Northern America,-0.11927342241164082,0.3026514568881768,-0.6373987949234615,0.35585993810236105,-0.7500984768628602,0.4399862922849802
antigenic-drift,2022,Northern America,-0.10024790857554032,0.17885452865631665,-0.38434646034151254,0.20202908197588923,-0.44468205525271093,0.263607658970352
antigenic-drift,2021,Northern America,-0.48455170470366443,0.14415632281394047,-0.7250138606822698,-0.2531709862268709,-0.7763166902226721,-0.211159030772415
antigenic-drift,2020,Northern America,-0.3348770259465198,0.14634547757618277,-0.5686905950436874,-0.09094657345462322,-0.6141783823738467,-0.04365109669022071
antigenic-drift,2019,Northern America,-0.2077883077976994,0.17150587016791233,-0.4990836087007792,0.06318316923172752,-0.5339694532404217,0.14044846631316957
antigenic-drift,2018,Northern America,-0.1692617640206895,0.18133778561583733,-0.46819464114330134,0.12617350843090827,-0.531785943775621,0.1813774986561215
antigenic-drift,2017,Northern America,-0.02130553894014724,0.16894937735026566,-0.30683950335989285,0.2523770140064602,-0.33887616786193325,0.32188041258392786
antigenic-drift,2023,Japan-Korea,0.08504347529365064,0.28241369620129264,-0.38120623794882147,0.546100979543959,-0.4658296234852338,0.6439275921429102
antigenic-drift,2022,Japan-Korea,-0.02103067502881413,0.18336533656058243,-0.32497279398079737,0.2777893204530976,-0.38294129926871406,0.333988195680312
antigenic-drift,2021,Japan-Korea,-0.3460524033396397,0.1630925419395578,-0.6073343303737727,-0.07843563583430387,-0.6646503764021009,-0.03218066932157451
antigenic-drift,2020,Japan-Korea,-0.391883088243062,0.16451560484830505,-0.6614176424768963,-0.12443792362388577,-0.7082856746134317,-0.05573954081694316
antigenic-drift,2019,Japan-Korea,-0.2690371243899168,0.16990261861321568,-0.5541225497116972,0.005440250822861784,-0.5920419980477862,0.06720175999156454
antigenic-drift,2018,Japan-Korea,-0.09993725773145397,0.16062829354889357,-0.3686907315653592,0.15787790095402773,-0.4221403893500799,0.20439267489075974
antigenic-drift,2017,Japan-Korea,-0.048078012989223075,0.1700012893967331,-0.3318559369812284,0.2280325416187419,-0.378072231936695,0.28302799508976983
antigenic-drift,2023,Russia,-0.14256089525867235,0.2837838071399761,-0.6023323267368601,0.3337645952029921,-0.707317520598463,0.39849983925826143
antigenic-drift,2022,Russia,-0.14034599225650926,0.1774427183981113,-0.42753514673055176,0.15806555396142527,-0.4910384968800281,0.20893288808988275
antigenic-drift,2021,Russia,-0.12103124475591122,0.1332054434381339,-0.34240397707248715,0.09519969608433673,-0.380184388322279,0.14093303514641006
antigenic-drift,2020,Russia,-0.44736948428071516,0.1658042385819644,-0.7264986352927286,-0.18028809039928173,-0.7731565117848788,-0.12347166904154946
antigenic-drift,2019,Russia,-0.06434689353890952,0.12615198116093948,-0.27603971543314426,0.13758817298112364,-0.3100454221846627,0.17566596767480852
antigenic-drift,2018,Russia,-0.003708730271866327,0.1668766202862086,-0.2589583800214912,0.28651933541315605,-0.32933327059364176,0.32204699418716864
antigenic-drift,2017,Russia,0.20014403825216381,0.14758817374532496,-0.02592772949174914,0.4593995040484274,-0.08200899576429715,0.49323437524660146
antigenic-drift,2023,Western Asia,-0.13770907844543934,0.29191517810934275,-0.6151691392834966,0.33665672159641236,-0.7093961076132856,0.425104738617633
antigenic-drift,2022,Western Asia,-0.1723766259641234,0.18890786329149595,-0.48547771632917075,0.13288570237033173,-0.5334537396161493,0.20366561863155824
antigenic-drift,2021,Western Asia,-0.1364037145426525,0.18199928219090283,-0.4245188012004182,0.17083589242004218,-0.478849685801355,0.23277252442924243
antigenic-drift,2020,Western Asia,-0.2524570698510242,0.13692264467518653,-0.468332730170777,-0.019987883042828055,-0.5101901962292362,0.020613833488215823
antigenic-drift,2019,Western Asia,-0.3203714103677592,0.16185920655103167,-0.5900311110902502,-0.05641987300204192,-0.6398408188934943,-0.002862436666988867
antigenic-drift,2018,Western Asia,-0.09602078604573677,0.15331827026997366,-0.3481563923840723,0.15954429615020635,-0.40479294673613003,0.19667546946146108
antigenic-drift,2017,Western Asia,0.07981966315942665,0.15982082785240428,-0.18084279661043948,0.34385101457525197,-0.2267948529204894,0.39656182339844187
antigenic-drift,2023,China,-0.11687093032594274,0.30862604929440896,-0.6169421912672677,0.390443111857626,-0.695184282929558,0.5175442512883592
antigenic-drift,2022,China,-0.09352044229016952,0.08595479217495874,-0.2323778695369664,0.05042591897374918,-0.2671477694769243,0.07138206217077342
antigenic-drift,2021,China,-0.40675457893230577,0.16846373134795486,-0.6795861464245158,-0.12741819710566643,-0.7593946927864809,-0.09576438086395411
antigenic-drift,2020,China,0.3572473795086722,0.17620893130633805,0.07154179539680744,0.6469891647408994,0.018936439350924334,0.7093290980396039
antigenic-drift,2019,China,-0.23617578159865074,0.17937457145675562,-0.5404919318403761,0.046324245008443364,-0.5875793407229346,0.10873447638380435
antigenic-drift,2018,China,-0.15029231912635804,0.1733399291070839,-0.44036746609994143,0.12640122068663429,-0.48357750437403485,0.1937562142525927
antigenic-drift,2017,China,-0.048175744787095506,0.1724461056183684,-0.3288853754780771,0.23764674177072156,-0.3780221220378694,0.3009444982281233
antigenic-drift,2023,Southern America,-0.8402908162018525,0.29934981610860706,-1.3356662148419058,-0.35683844888128313,-1.4231205775508216,-0.2585883606025083
antigenic-drift,2022,Southern America,-0.7819011987308898,0.1598625460529603,-1.0537823902716719,-0.5252989479279626,-1.0930139529584926,-0.46954042534849416
antigenic-drift,2021,Southern America,-0.28031618190635993,0.14093698345416908,-0.5198626318733398,-0.059650603735738855,-0.5589911126681538,-0.006114722896695259
antigenic-drift,2020,Southern America,-0.4038015370450029,0.1573717207233037,-0.6488048180388104,-0.13690098493441336,-0.7182827329012167,-0.09639635536142502
antigenic-drift,2019,Southern America,-0.20934416102424597,0.16932305431145836,-0.4965762353532426,0.0603629297682528,-0.5465044730444777,0.11219915510366296
antigenic-drift,2018,Southern America,-0.19939974625635495,0.17299097730242485,-0.4841799985700969,0.08284964506796408,-0.5342210497781278,0.13225583316225187
antigenic-drift,2017,Southern America,-0.03831500035411381,0.1524981706987499,-0.286366907120852,0.2126786380327891,-0.3404220961582095,0.2505080763727314
antigenic-drift,2023,Africa,-0.17726149000532496,0.29587814979566207,-0.6579714958990099,0.3003581819836213,-0.7586039065538874,0.38958985342247665
antigenic-drift,2022,Africa,-0.2969982847246091,0.17564029375761597,-0.5795550178176254,-0.008017120646871323,-0.6437965914905384,0.03753148501013367
antigenic-drift,2021,Africa,1.0275062597458884,0.11736478147485788,0.8248739776532215,1.2097144103612054,0.7921858429840906,1.2511686320647197
antigenic-drift,2020,Africa,0.5296487689567645,0.14518511613826432,0.29079719625678185,0.7681774718003461,0.23258115622911363,0.8038445107146912
antigenic-drift,2019,Africa,-0.19948210181076478,0.14652398197047511,-0.4413269218441112,0.042623906163260464,-0.47964936713822487,0.09291520331900104
antigenic-drift,2018,Africa,-0.24079614436737207,0.17137080585109132,-0.5182105120333169,0.04891153873767839,-0.5809047641566502,0.0883667134772097
antigenic-drift,2017,Africa,-0.2551934415828297,0.16730520524434744,-0.541964505192547,0.004512758947838321,-0.6003329792348555,0.05332408023142176
