var,epoch,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
antigenic-drift,pos,Oceania,-0.10969785773150051,0.12485470955717676,-0.3192823856487949,0.09796364116138379,-0.35733080420285107,0.13746949761947705
antigenic-drift,pan,Oceania,-0.33300443419309467,0.11798169955123444,-0.5342113321843208,-0.14552148842673532,-0.5647371770635898,-0.10492984957547782
antigenic-drift,pre,Oceania,-0.09948262325425511,0.09838556937373115,-0.2561454783334141,0.0671936737480356,-0.29908588942916464,0.08326982987760509
antigenic-drift,pos,South-eastern Asia,-0.13118114179251034,0.123554972397698,-0.33159813554044676,0.074349549204227,-0.37824527008676045,0.10549749118411468
antigenic-drift,pan,South-eastern Asia,-0.2315621176615636,0.141114296142529,-0.45977882055570896,0.0019432993726558848,-0.49388825542507253,0.051916507307695564
antigenic-drift,pre,South-eastern Asia,-0.11227633438112156,0.09517796119910796,-0.27935367333526134,0.032563347165318536,-0.3017775500307781,0.068318579335634
antigenic-drift,pos,Europe,-0.11487848019613683,0.1277270711758429,-0.31502078334954714,0.09512859164205638,-0.35777802978584844,0.13138336985513444
antigenic-drift,pan,Europe,-0.439757876238844,0.11474861598893143,-0.6188485927442515,-0.24662342528873615,-0.6658009369622273,-0.22176287069544523
antigenic-drift,pre,Europe,-0.05189247609467344,0.09471924727032376,-0.20179150302489032,0.10899182512043086,-0.24294418669440201,0.12626789990813622
antigenic-drift,pos,Southern Asia,-0.4690219868734315,0.1142099160467788,-0.646020708100274,-0.272493641442894,-0.6980872044330244,-0.24822646265855275
antigenic-drift,pan,Southern Asia,-0.07008115031840588,0.13432886887172335,-0.2819705097344573,0.15633789661547526,-0.3389628609085068,0.18668902136028223
antigenic-drift,pre,Southern Asia,-0.20079695140507528,0.09689952328672392,-0.35355232653477614,-0.03436787217882495,-0.3946257465077191,-0.015507462130822108
antigenic-drift,pos,Northern America,-0.19738229152798886,0.12449730130149637,-0.4033084163399652,0.005931952262988969,-0.44216007562383014,0.04732105752788409
antigenic-drift,pan,Northern America,-0.3888306319886584,0.11937188476953953,-0.5840828868682105,-0.18499593743155318,-0.6251012805701708,-0.151373165199114
antigenic-drift,pre,Northern America,-0.13967627082017328,0.10191300733144705,-0.31540690088004253,0.020325370670346496,-0.3341934170692957,0.06611064583692683
antigenic-drift,pos,Japan-Korea,-0.12447039850200764,0.12420335969345143,-0.3221016902165469,0.08411654106700489,-0.36728552399245995,0.11926822353080815
antigenic-drift,pan,Japan-Korea,-0.32543627373955897,0.13282877657334632,-0.5413525396108979,-0.10783691876550663,-0.5840665702688193,-0.06966745623916641
antigenic-drift,pre,Japan-Korea,-0.1419374711519828,0.09803491822707157,-0.30739564231034877,0.014612959528518548,-0.32799604545671174,0.05391969899042701
antigenic-drift,pos,Russia,-0.0722328549752662,0.12307971552165285,-0.2763149892221801,0.13003728857996197,-0.3062800595031362,0.17623378503217668
antigenic-drift,pan,Russia,-0.39601539571907224,0.12275009098655466,-0.6047710475133683,-0.20330291264372477,-0.6344576879786458,-0.1527150099327247
antigenic-drift,pre,Russia,0.04304001830369517,0.08837478172744925,-0.10515001863675758,0.1838664910190235,-0.13186858402893462,0.2104592380599839
antigenic-drift,pos,Western Asia,-0.1401203384597678,0.13653980314498632,-0.3592862977244046,0.08673919709685383,-0.3941849379202502,0.1415135008282218
antigenic-drift,pan,Western Asia,-0.2251210050181258,0.12583603583280564,-0.42960475639340107,-0.019386270515954433,-0.48630035828040163,0.008862904457525134
antigenic-drift,pre,Western Asia,-0.11589405102134581,0.09118646877384387,-0.2656008806750853,0.034060088071943787,-0.30522203676335385,0.05381796035743703
antigenic-drift,pos,China,-0.17818535798777146,0.09502034493185284,-0.3285066022263543,-0.012343393868101777,-0.3656001796866369,0.009422663852614416
antigenic-drift,pan,China,-0.006183664522381605,0.1356160254698517,-0.23331741992716892,0.21587536715797706,-0.2754387682730737,0.26017312340359433
antigenic-drift,pre,China,-0.10668666507348655,0.10298887498557248,-0.27140889735468104,0.06675641102012263,-0.30571112799575345,0.09864352387039885
antigenic-drift,pos,Southern America,-0.616361873314465,0.12892047324536837,-0.838090566344589,-0.4121103861427825,-0.8736610798019008,-0.3638689396176446
antigenic-drift,pan,Southern America,-0.43635805642421316,0.11474933678316436,-0.6203840205557298,-0.24740502196475667,-0.6630548421268038,-0.21410383470450559
antigenic-drift,pre,Southern America,-0.15771098634439512,0.09994918018104462,-0.32121292163955656,0.008946882077291607,-0.3537343681995773,0.03795830931263348
antigenic-drift,pos,Africa,-0.02312327942299705,0.11683974123644193,-0.20769671742412443,0.17847966479298635,-0.24814740571040222,0.21609190462791286
antigenic-drift,pan,Africa,0.7399752002100095,0.11328075281136685,0.5459219161769686,0.9142727936209096,0.5261430731404406,0.965500496837596
antigenic-drift,pre,Africa,-0.18861592020717394,0.09538077612914118,-0.34421715014689713,-0.031222668836053458,-0.38374359620607323,-0.006718708107382667
